"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Variation %"
"06/07/2021","8,9436","8,9298","8,9600","8,9084","0,21%"
"05/07/2021","8,9248","8,9253","8,9386","8,9090","0,00%"
"02/07/2021","8,9245","8,9356","8,9592","8,9193","-0,04%"
"01/07/2021","8,9285","8,9299","8,9464","8,9159","0,02%"
"30/06/2021","8,9268","8,9107","8,9403","8,8993","0,22%"
"29/06/2021","8,9069","8,8971","8,9256","8,8860","0,16%"
"28/06/2021","8,8929","8,9046","8,9138","8,8851","-0,03%"
"25/06/2021","8,8960","8,9027","8,9094","8,8785","-0,05%"
"24/06/2021","8,9002","8,9025","8,9135","8,8833","0,10%"
"23/06/2021","8,8915","8,8965","8,9199","8,8770","-0,03%"
"22/06/2021","8,8940","8,9080","8,9314","8,8838","0,00%"
"21/06/2021","8,8940","8,9208","8,9384","8,8883","-0,40%"
"18/06/2021","8,9298","8,9189","8,9490","8,8996","0,14%"
"17/06/2021","8,9170","8,8805","8,9306","8,8711","0,44%"
"16/06/2021","8,8780","8,8220","8,8853","8,8048","0,79%"
"15/06/2021","8,8086","8,8395","8,8449","8,8060","-0,26%"
"14/06/2021","8,8318","8,8550","8,8668","8,8271","-0,07%"
"11/06/2021","8,8376","8,8146","8,8664","8,8014","0,29%"
"10/06/2021","8,8120","8,8155","8,8450","8,8081","-0,01%"
"09/06/2021","8,8129","8,8282","8,8337","8,8011","-0,14%"
"08/06/2021","8,8254","8,8069","8,8368","8,7992","0,09%"
"07/06/2021","8,8176","8,8213","8,8440","8,7980","-0,05%"
"04/06/2021","8,8223","8,8525","8,8708","8,8181","-0,32%"
"03/06/2021","8,8509","8,8256","8,8705","8,8112","0,36%"
"02/06/2021","8,8189","8,8284","8,8518","8,8034","-0,03%"
"01/06/2021","8,8214","8,8217","8,8423","8,7970","-0,04%"
"31/05/2021","8,8251","8,8197","8,8558","8,8146","0,04%"
"28/05/2021","8,8215","8,8406","8,8794","8,8188","-0,20%"
"27/05/2021","8,8390","8,8360","8,8541","8,8099","0,06%"
"26/05/2021","8,8335","8,7921","8,8462","8,7798","0,50%"
"25/05/2021","8,7895","8,8218","8,8251","8,7819","-0,29%"
"24/05/2021","8,8148","8,8290","8,8369","8,7991","-0,02%"
"21/05/2021","8,8165","8,8125","8,8421","8,7956","0,07%"
"20/05/2021","8,8100","8,8340","8,8409","8,8004","-0,24%"
"19/05/2021","8,8310","8,8010","8,8449","8,7878","0,37%"
"18/05/2021","8,7984","8,8449","8,8449","8,7927","-0,44%"
"17/05/2021","8,8374","8,8445","8,8594","8,8243","0,15%"
"14/05/2021","8,8242","8,8747","8,8809","8,8312","-0,50%"
"13/05/2021","8,8685","8,8742","8,8857","8,8590","0,01%"
"12/05/2021","8,8678","8,8468","8,8889","8,8366","0,32%"
"11/05/2021","8,8399","8,8485","8,8588","8,8231","-0,03%"
"10/05/2021","8,8424","8,8389","8,8573","8,8228","0,07%"
"07/05/2021","8,8359","8,8773","8,8923","8,8327","-0,47%"
"06/05/2021","8,8780","8,9162","8,9256","8,8680","-0,41%"
"05/05/2021","8,9147","8,9227","8,9500","8,9045","-0,18%"
"04/05/2021","8,9311","8,9227","8,9555","8,9072","0,17%"
"03/05/2021","8,9158","8,9398","8,9446","8,9062","-0,32%"
"30/04/2021","8,9441","8,9044","8,9542","8,8958","0,52%"
"29/04/2021","8,8977","8,8865","8,9228","8,8666","0,16%"
"28/04/2021","8,8836","8,8973","8,9230","8,8745","-0,08%"
"27/04/2021","8,8909","8,8990","8,9187","8,8869","-0,06%"
"26/04/2021","8,8965","8,8895","8,9152","8,8778","-0,02%"
"23/04/2021","8,8985","8,9236","8,9354","8,8830","-0,32%"
"22/04/2021","8,9267","8,9197","8,9434","8,8982","0,10%"
"21/04/2021","8,9178","8,9210","8,9440","8,9103","-0,01%"
"20/04/2021","8,9185","8,9184","8,9323","8,8875","0,03%"
"19/04/2021","8,9162","8,9095","8,9326","8,9007","-0,18%"
"16/04/2021","8,9325","8,9367","8,9506","8,9191","0,08%"
"15/04/2021","8,9256","8,9285","8,9505","8,9158","0,00%"
"14/04/2021","8,9252","8,9396","8,9593","8,9214","-0,13%"
"13/04/2021","8,9368","8,9619","8,9797","8,9348","-0,20%"
"12/04/2021","8,9550","8,9699","8,9834","8,9405","-0,10%"
"09/04/2021","8,9640","8,9578","8,9900","8,9490","0,07%"
"08/04/2021","8,9575","8,9985","9,0105","8,9483","-0,43%"
"07/04/2021","8,9960","8,9990","9,0190","8,9760","-0,11%"
"06/04/2021","9,0060","9,0460","9,0541","8,9952","-0,37%"
"05/04/2021","9,0391","9,0592","9,0806","9,0315","-0,21%"
"02/04/2021","9,0579","9,0467","9,0717","9,0254","0,20%"
"01/04/2021","9,0398","9,0718","9,0800","9,0312","-0,24%"
"31/03/2021","9,0616","9,0720","9,0850","9,0407","-0,04%"
"30/03/2021","9,0651","9,0605","9,0824","9,0409","0,13%"
"29/03/2021","9,0537","9,0369","9,0754","9,0160","0,07%"
